Model,Method,Accuracy,Train_Time(s),Test_Time(s),AUC
RF,SMOTE,0.993795061728395,1450.7234182357788,122.31401944160461,
DT,SMOTE,0.9933185185185185,207.66089487075806,0.3264648914337158,
XGB,SMOTE,0.9925308641975309,998.8802869319916,12.94493556022644,
CNN+GRU,SMOTE,0.9898641975308642,1799.6736044883728,56.93971228599548,
RF,Tomek_IHT,0.9936024691358025,130.11776208877563,19.547778844833374,
DT,Tomek_IHT,0.9936444444444444,6.906291961669922,0.08753633499145508,
XGB,Tomek_IHT,0.9934641975308642,148.95825052261353,6.512787103652954,
CNN+GRU,Tomek_IHT,0.9887456790123457,267.3288230895996,18.48229193687439,
